,title,genre,budget,runtime,year,month,revenue
409,The Spanish Prisoner,Crime,10000000,110.0,1997,9,13835130
410,The Day the Earth Stood Still,Drama,80000000,104.0,2008,12,233093859
411,Final Fantasy: The Spirits Within,Adventure,137000000,106.0,2001,7,85131830
412,Her,Romance,23000000,126.0,2013,12,47351251
413,Jurassic World,Action,150000000,124.0,2015,6,1513528810
414,Max Payne,Action,35000000,100.0,2008,10,85416905
415,"Monsters, Inc.",Animation,115000000,92.0,2001,11,562816256
416,Serving Sara,Comedy,29000000,100.0,2002,8,16930185
417,Don't Say a Word,Thriller,50000000,113.0,2001,9,100020092
418,Mighty Joe Young,Action,90000000,114.0,1998,12,0
419,Warrior,Action,25000000,140.0,2011,9,23057115
420,Message in a Bottle,Romance,80000000,131.0,1999,2,118880016
421,Tank Girl,Action,25000000,98.0,1995,3,4064495
422,The Stepford Wives,Action,90000000,93.0,2004,6,102000000
423,The Princess Diaries,Comedy,37000000,115.0,2001,8,165335153
424,Anna and the King,Drama,75000000,148.0,1999,12,0
425,The Rundown,Adventure,85000000,104.0,2003,9,80916492
426,Spy Kids: All the Time in the World,,27000000,89.0,2011,8,85564310
427,Mercury Rising,Action,60000000,111.0,1998,4,0
428,American Gangster,Drama,100000000,157.0,2007,11,266465037
429,Unfaithful,Thriller,50000000,124.0,2002,5,119137784
430,Turbulence,Action,55000000,100.0,1997,1,11466088
431,The Passion of the Christ,Drama,30000000,127.0,2004,2,611899420
432,Virgin Territory,Adventure,38000000,93.0,2007,12,5410749
433,W.,Drama,25100000,131.0,2008,10,29506464
434,Serenity,Science Fiction,39000000,119.0,2005,8,38869464
435,The Shipping News,Drama,0,111.0,2001,12,0
436,The Road,Adventure,32000000,111.0,2009,11,27635305
437,Space Chimps,Animation,37000000,81.0,2008,7,63800345
438,Beautiful Creatures,Fantasy,60000000,124.0,2013,2,60052138
439,This Is the End,Action,32000000,107.0,2013,6,126041322
